Electoral_District_Number,Province,2015_Bloc-Québécois,2015_Conservative,2015_Green-Party,2015_Liberal,2015_NDP-New-Democratic-Party,2015_Other,2015_Vote_Total,2015_Position_1,2015_Position_2,2015_Position_3,2015_Position_4,2015_Position_5,2015_Position_6,2015_Number_of_Polling_Stations,2015_Number_of_Electors,2015_Percent_Liberal,2015_Percent_Bloc-Québécois,2015_Percent_Conservative,2015_Percent_Green-Party,2015_Percent_NDP-New-Democratic-Party,2015_Percent_Other,2015_Voter_Participation
10001,Newfoundland-and-Labrador,0.0,4670.0,228.0,23528.0,6075.0,7585.0,42086.0,Liberal,Other,NDP-New-Democratic-Party,Conservative,Green-Party,,231,68487,0.5590457634367724,0.0,0.11096326569405503,0.005417478496412108,0.14434728888466472,0.18022620348809582,0.6145107830683195
10002,Newfoundland-and-Labrador,0.0,3534.0,297.0,28704.0,2557.0,0.0,35092.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,,,285,62462,0.8179642083665792,0.0,0.10070671378091872,0.00846346745697025,0.07286561039553174,0.0,0.5618135826582562
10003,Newfoundland-and-Labrador,0.0,6479.0,271.0,26523.0,2175.0,0.0,35448.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,,,239,64226,0.7482227488151659,0.0,0.18277476867524262,0.007645001128413451,0.06135748138117807,0.0,0.5519260112726933
10004,Newfoundland-and-Labrador,0.0,1716.0,0.0,8878.0,1779.0,0.0,12373.0,Liberal,NDP-New-Democratic-Party,Conservative,,,,86,20045,0.7175301058756971,0.0,0.13868908106360625,0.0,0.14378081306069668,0.0,0.6172611623846346
10005,Newfoundland-and-Labrador,0.0,5085.0,1111.0,30889.0,4739.0,0.0,41824.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,,,264,71918,0.7385472456006121,0.0,0.1215809104820199,0.02656369548584545,0.11330814843152257,0.0,0.5815512111015323
10006,Newfoundland-and-Labrador,0.0,2938.0,500.0,20974.0,20328.0,140.0,44880.0,Liberal,NDP-New-Democratic-Party,Conservative,Green-Party,Other,,191,66304,0.46733511586452764,0.0,0.06546345811051693,0.011140819964349376,0.45294117647058824,0.0031194295900178253,0.6768822393822393
10007,Newfoundland-and-Labrador,0.0,2047.0,365.0,25922.0,16467.0,0.0,44801.0,Liberal,NDP-New-Democratic-Party,Conservative,Green-Party,,,191,67596,0.5786031561795496,0.0,0.045690944398562534,0.008147139572777393,0.3675587598491105,0.0,0.662775903899639
11001,Prince-Edward-Island,0.0,3632.0,1434.0,14621.0,2503.0,295.0,22485.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,Other,,93,28889,0.6502557260395819,0.0,0.16152990882810764,0.0637758505670447,0.11131865688236602,0.013119857682899711,0.778323929523348
11002,Prince-Edward-Island,0.0,3136.0,1222.0,11910.0,4897.0,0.0,21165.0,Liberal,NDP-New-Democratic-Party,Conservative,Green-Party,,,84,28129,0.5627214741318214,0.0,0.14816914717694307,0.05773682967162769,0.23137254901960785,0.0,0.7524263215898184
11003,Prince-Edward-Island,0.0,6185.0,559.0,10521.0,4097.0,0.0,21362.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,,,90,27858,0.4925100646006928,0.0,0.2895328152794682,0.026167961801329465,0.1917891583185095,0.0,0.7668174312585254
11004,Prince-Edward-Island,0.0,3947.0,2066.0,13950.0,2509.0,0.0,22472.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,,,83,28629,0.6207725169099324,0.0,0.17564079743681024,0.09193663225347098,0.1116500533997864,0.0,0.784938349226309
12001,Nova-Scotia,0.0,6246.0,1281.0,32163.0,3547.0,0.0,43237.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,,,220,60785,0.7438767722089876,0.0,0.1444596063556676,0.029627402456229617,0.08203621897911512,0.0,0.711310356173398
12002,Nova-Scotia,0.0,11418.0,1834.0,25909.0,4532.0,570.0,44263.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,Other,,226,60594,0.5853421593656101,0.0,0.25795811400040664,0.041434154937532476,0.10238799900594175,0.012877572690509003,0.7304848664884313
12003,Nova-Scotia,0.0,12257.0,1650.0,29527.0,2647.0,251.0,46332.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,Other,,220,65461,0.6372917206250539,0.0,0.2645471812138479,0.03561253561253561,0.0571311404644738,0.005417422084088751,0.7077802050075618
12004,Nova-Scotia,0.0,7331.0,1775.0,30407.0,12757.0,0.0,52270.0,Liberal,NDP-New-Democratic-Party,Conservative,Green-Party,,,204,73710,0.5817294815381672,0.0,0.1402525349148651,0.033958293476181366,0.2440596900707863,0.0,0.7091303757970424
12005,Nova-Scotia,0.0,4564.0,1745.0,27431.0,19162.0,130.0,53032.0,Liberal,NDP-New-Democratic-Party,Conservative,Green-Party,Other,,214,73379,0.5172537335948106,0.0,0.08606124604012672,0.03290466133655152,0.36132900890028663,0.002451350128224468,0.7227135829051908
12006,Nova-Scotia,0.0,7837.0,1971.0,34377.0,5894.0,0.0,50079.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,,,243,70515,0.6864554004672617,0.0,0.1564927414684798,0.0393578146528485,0.11769404341140997,0.0,0.7101893214209742
12007,Nova-Scotia,0.0,8677.0,1569.0,33026.0,2998.0,416.0,46686.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,Other,,221,67213,0.7074069314141285,0.0,0.18585871567493467,0.033607505462022874,0.06421625326650388,0.008910594182410145,0.6945977712644875
12008,Nova-Scotia,0.0,7186.0,1341.0,23161.0,16613.0,0.0,48301.0,Liberal,NDP-New-Democratic-Party,Conservative,Green-Party,,,200,68040,0.47951388170017184,0.0,0.14877538767313306,0.027763400343678184,0.34394733028301694,0.0,0.709891240446796
12009,Nova-Scotia,0.0,11905.0,1534.0,30045.0,8883.0,408.0,52775.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,Other,,256,76181,0.5693036475603979,0.0,0.2255802936996684,0.029066792989104688,0.1683183325438181,0.007730933207010895,0.6927580367808246
12010,Nova-Scotia,0.0,4360.0,1026.0,29995.0,5351.0,242.0,40974.0,Liberal,NDP-New-Democratic-Party,Conservative,Green-Party,Other,,204,59994,0.7320495924244643,0.0,0.10640894225606483,0.025040269439156538,0.13059501147068872,0.0059061844096256165,0.682968296829683
12011,Nova-Scotia,0.0,11916.0,1904.0,28775.0,3084.0,0.0,45679.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,,,233,67059,0.6299393594430701,0.0,0.2608638542875282,0.04168217342761444,0.06751461284178725,0.0,0.681176277606287
13001,New-Brunswick,0.0,3852.0,1187.0,25845.0,20079.0,0.0,50963.0,Liberal,NDP-New-Democratic-Party,Conservative,Green-Party,,,258,66799,0.5071326256303593,0.0,0.07558424739516904,0.023291407491709673,0.393991719482762,0.0,0.7629305827931556
13002,New-Brunswick,0.0,6017.0,2376.0,36534.0,8009.0,0.0,52936.0,Liberal,NDP-New-Democratic-Party,Conservative,Green-Party,,,218,66891,0.6901541484056218,0.0,0.11366555841015566,0.04488438869578359,0.15129590448843888,0.0,0.7913770163400159
13003,New-Brunswick,0.0,13280.0,5804.0,23016.0,4622.0,0.0,46722.0,Liberal,Conservative,Green-Party,NDP-New-Democratic-Party,,,182,61947,0.4926158982920252,0.0,0.28423440777363984,0.12422413424082873,0.09892555969350628,0.0,0.7542253862172502
13004,New-Brunswick,0.0,17361.0,1823.0,19136.0,8204.0,296.0,46820.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,Other,,197,63089,0.4087142246903033,0.0,0.3708030756087142,0.03893635198633063,0.17522426313541223,0.006322084579239641,0.7421262026660749
13005,New-Brunswick,0.0,6151.0,707.0,20778.0,9670.0,0.0,37306.0,Liberal,NDP-New-Democratic-Party,Conservative,Green-Party,,,192,50907,0.5569613467002626,0.0,0.1648796440250898,0.018951375113922694,0.25920763416072484,0.0,0.7328265268037795
13006,New-Brunswick,0.0,12476.0,1098.0,17202.0,5588.0,0.0,36364.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,,,166,48331,0.47305026949730505,0.0,0.3430865691343087,0.03019469805301947,0.15366846331536685,0.0,0.7523949432041547
13007,New-Brunswick,0.0,11168.0,2399.0,30054.0,8420.0,0.0,52041.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,,,200,71982,0.5775061970369516,0.0,0.21460002690186583,0.046098268672777235,0.16179550738840529,0.0,0.7229724097691089
13008,New-Brunswick,0.0,14625.0,1877.0,16656.0,4768.0,0.0,37926.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,,,183,51729,0.43917101724410695,0.0,0.3856193640246796,0.04949111427516743,0.125718504456046,0.0,0.7331670822942643
13009,New-Brunswick,0.0,12915.0,1321.0,20634.0,7411.0,0.0,42281.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,,,180,61722,0.4880206239209101,0.0,0.3054563515527069,0.03124334807596793,0.1752796764504151,0.0,0.6850231684002462
13010,New-Brunswick,0.0,14225.0,1959.0,17909.0,4334.0,0.0,38427.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,,,187,54145,0.46605251515861246,0.0,0.3701824238165873,0.05097977984229839,0.11278528118250189,0.0,0.7097054206297904
24001,Quebec,6398.0,3211.0,779.0,11094.0,12778.0,258.0,34518.0,NDP-New-Democratic-Party,Liberal,Bloc-Québécois,Conservative,Green-Party,Other,203,63632,0.3213975317225795,0.18535256967379338,0.09302392954400603,0.022567935569847614,0.3701836722869228,0.0074743612028506864,0.5424629117425195
24002,Quebec,9651.0,3425.0,859.0,14733.0,20636.0,425.0,49729.0,NDP-New-Democratic-Party,Liberal,Bloc-Québécois,Conservative,Green-Party,Other,280,82968,0.29626576042148445,0.19407186953286815,0.06887329324941181,0.01727362303685978,0.4149691326992298,0.008546321060145991,0.5993756629061807
24003,Quebec,7346.0,4051.0,1175.0,26026.0,16684.0,285.0,55567.0,Liberal,NDP-New-Democratic-Party,Bloc-Québécois,Conservative,Green-Party,Other,229,83208,0.46837151546781364,0.13220076664207173,0.07290298198571095,0.02114564399733655,0.3002501484694153,0.005128943437651844,0.6678083838092491
24004,Quebec,9836.0,6259.0,1089.0,24557.0,13225.0,203.0,55169.0,Liberal,NDP-New-Democratic-Party,Bloc-Québécois,Conservative,Green-Party,Other,211,78524,0.4451231669959579,0.17828853160289293,0.11345139480505356,0.019739346372056772,0.23971795754862332,0.0036796026754155413,0.702575008914472
24005,Quebec,9525.0,5680.0,1118.0,22093.0,12650.0,0.0,51066.0,Liberal,NDP-New-Democratic-Party,Bloc-Québécois,Conservative,Green-Party,,259,78836,0.4326361962949908,0.18652332275878275,0.11122860611757333,0.021893236204127992,0.24771863862452512,0.0,0.6477497589933533
24006,Quebec,7641.0,2228.0,365.0,14378.0,7340.0,4404.0,36356.0,Liberal,Bloc-Québécois,NDP-New-Democratic-Party,Other,Conservative,Green-Party,219,60890,0.39547805039058204,0.21017163604356914,0.06128286940257454,0.010039608317746727,0.20189239740345472,0.12113543844207283,0.5970766956807357
24007,Quebec,4144.0,32910.0,943.0,12442.0,5443.0,0.0,55882.0,Conservative,Liberal,NDP-New-Democratic-Party,Bloc-Québécois,Green-Party,,269,85698,0.22264772198561253,0.07415625782899682,0.5889195089653197,0.016874843420063707,0.09740166780000716,0.0,0.6520805619734417
24008,Quebec,7467.0,15461.0,1220.0,12854.0,12881.0,675.0,50558.0,Conservative,NDP-New-Democratic-Party,Liberal,Bloc-Québécois,Green-Party,Other,227,78799,0.2542426520036394,0.14769175995885914,0.3058071917401796,0.02413070137268088,0.2547766921159856,0.013351002808655405,0.6416071269939974
24009,Quebec,20871.0,5955.0,1182.0,12666.0,11531.0,0.0,52205.0,Bloc-Québécois,Liberal,NDP-New-Democratic-Party,Conservative,Green-Party,,241,78734,0.24262043865530122,0.39978929221338955,0.11406953356958145,0.022641509433962263,0.22087922612776553,0.0,0.6630553509284426
24010,Quebec,7217.0,31872.0,2032.0,12961.0,8516.0,0.0,62598.0,Conservative,Liberal,NDP-New-Democratic-Party,Bloc-Québécois,Green-Party,,306,92719,0.20705134349340235,0.11529122336176875,0.5091536470813764,0.03246110099364197,0.13604268506981054,0.0,0.6751367033725558
24011,Quebec,18387.0,6173.0,1498.0,19494.0,20641.0,245.0,66438.0,NDP-New-Democratic-Party,Liberal,Bloc-Québécois,Conservative,Green-Party,Other,275,91204,0.29341641831481985,0.27675426713627743,0.09291369397031819,0.022547337367169393,0.3106806345765977,0.003687648634817424,0.7284548923292838
24012,Quebec,14037.0,5548.0,847.0,11032.0,22942.0,0.0,54406.0,NDP-New-Democratic-Party,Bloc-Québécois,Liberal,Conservative,Green-Party,,269,82996,0.20277175311546522,0.2580046318420762,0.10197404698011249,0.01556813586736757,0.4216814321949785,0.0,0.6555255674972288
24013,Quebec,15238.0,7000.0,1352.0,18281.0,14022.0,355.0,56248.0,Liberal,Bloc-Québécois,NDP-New-Democratic-Party,Conservative,Green-Party,Other,219,79440,0.3250071113639596,0.2709074100412459,0.12444886929313043,0.02403641018347319,0.24928886360403926,0.006311335514151614,0.7080563947633434
24014,Quebec,17007.0,6079.0,5056.0,16794.0,14454.0,0.0,59390.0,Bloc-Québécois,Liberal,NDP-New-Democratic-Party,Conservative,Green-Party,,230,78855,0.2827748779255767,0.2863613402929786,0.10235729920862098,0.08513217713419767,0.24337430543862604,0.0,0.7531545241265614
24015,Quebec,7049.0,3819.0,886.0,22234.0,6144.0,997.0,41129.0,Liberal,Bloc-Québécois,NDP-New-Democratic-Party,Conservative,Other,Green-Party,187,71070,0.5405917965425855,0.17138758540202775,0.09285419047387489,0.021541977679982494,0.1493836465754091,0.024240803326120254,0.5787111298719573
24016,Quebec,10252.0,6724.0,1377.0,25744.0,14383.0,195.0,58675.0,Liberal,NDP-New-Democratic-Party,Bloc-Québécois,Conservative,Green-Party,Other,260,85118,0.4387558585428206,0.17472518108223264,0.1145973583297827,0.023468257349808265,0.24512995313165745,0.003323391563698338,0.6893371554782772
24017,Quebec,6071.0,7215.0,1081.0,28818.0,14075.0,0.0,57260.0,Liberal,NDP-New-Democratic-Party,Conservative,Bloc-Québécois,Green-Party,,222,83766,0.5032832692979392,0.10602514844568635,0.1260041914076144,0.01887879846315054,0.2458085923856095,0.0,0.6835708998877826
