Electoral_District_Number,Province,2019_Bloc-Québécois_Votes,2019_Conservative_Votes,2019_Green-Party_Votes,2019_Liberal_Votes,2019_NDP-New-Democratic-Party_Votes,2019_Other_Votes,2019_Vote_Total,2019_Position_1,2019_Position_2,2019_Position_3,2019_Position_4,2019_Position_5,2019_Position_6,2019_Number_of_Polling_Stations,2019_Number_of_Electors,2019_Bloc-Québécois,2019_Conservative,2019_Green-Party,2019_Liberal,2019_NDP-New-Democratic-Party,2019_Other,2019_Percent_Riding_Votes_Liberal,2019_Percent_Riding_Votes_Bloc-Québécois,2019_Percent_Riding_Votes_Conservative,2019_Percent_Riding_Votes_Green-Party,2019_Percent_Riding_Votes_NDP-New-Democratic-Party,2019_Percent_Riding_Votes_Other,2019_Voter_Participation
10001,Newfoundland-and-Labrador,0,12855,2215,19122,7142,0,41334,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,None,None,231,70341,5,2,4,1,3,5,0.4626215706198287,0.0,0.31100304833793,0.05358784535733294,0.17278753568490832,0.0,0.5876231500831662
10002,Newfoundland-and-Labrador,0,12697,920,14707,3855,0,32179,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,None,None,271,60166,5,2,4,1,3,5,0.4570371981727213,0.0,0.39457410112184965,0.028590074272040772,0.11979862643338823,0.0,0.5348369511019513
10003,Newfoundland-and-Labrador,0,12081,1363,16514,4224,0,34182,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,None,None,239,63639,5,2,4,1,3,5,0.4831197706395179,0.0,0.3534316306828155,0.03987478790006436,0.12357381077760225,0.0,0.5371234620280017
10004,Newfoundland-and-Labrador,0,3548,224,4851,2796,0,11419,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,None,None,90,20184,5,2,4,1,3,5,0.42481828531395044,0.0,0.31071021980909014,0.019616428759085733,0.24485506611787372,0.0,0.5657451446690448
10005,Newfoundland-and-Labrador,0,10873,1334,18199,7609,411,38426,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,Other,None,257,70688,6,2,4,1,3,5,0.47361161713423205,0.0,0.28295945453599125,0.034716077655753914,0.1980169676781346,0.0106958829958882,0.5436000452693527
10006,Newfoundland-and-Labrador,0,8141,821,14962,21148,0,45072,NDP-New-Democratic-Party,Liberal,Conservative,Green-Party,None,None,185,67406,5,3,4,2,1,5,0.33195775647852327,0.0,0.18062211572594958,0.018215299964501244,0.4692048278310259,0.0,0.6686645105776934
10007,Newfoundland-and-Labrador,0,7767,740,20793,10890,476,40666,Liberal,NDP-New-Democratic-Party,Conservative,Green-Party,Other,None,185,67643,6,3,4,1,2,5,0.5113116608468992,0.0,0.19099493434318596,0.018197019623272512,0.2677912752668076,0.011705109919834752,0.6011856363555727
11001,Prince-Edward-Island,0,6439,3068,10939,1481,240,22167,Liberal,Conservative,Green-Party,NDP-New-Democratic-Party,Other,None,91,29869,6,2,3,1,4,5,0.4934813010330672,0.0,0.290476834934813,0.13840393377543195,0.06681102539811432,0.010826904858573556,0.7421406809735847
11002,Prince-Edward-Island,0,4040,4648,8812,2238,172,19910,Liberal,Green-Party,Conservative,NDP-New-Democratic-Party,Other,None,79,27719,6,3,2,1,4,5,0.44259166248116527,0.0,0.20291310899045706,0.2334505273731793,0.11240582621798091,0.008638874937217478,0.7182798802265594
11003,Prince-Edward-Island,0,6934,3998,8016,1230,0,20178,Liberal,Conservative,Green-Party,NDP-New-Democratic-Party,None,None,90,28557,5,2,3,1,4,5,0.3972643473089503,0.0,0.34364158985033205,0.19813658439885024,0.06095747844186738,0.0,0.7065868263473054
11004,Prince-Edward-Island,0,5908,6103,9533,1495,0,23039,Liberal,Green-Party,Conservative,NDP-New-Democratic-Party,None,None,92,30576,5,3,2,1,4,5,0.41377663961109423,0.0,0.2564347410911932,0.26489865011502234,0.06488996918269022,0.0,0.7534994767137624
12001,Nova-Scotia,0,14821,3321,16694,6354,1750,42940,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,Other,None,216,60699,6,2,4,1,3,5,0.3887750349324639,0.0,0.3451560316721006,0.07734047508150908,0.147973917093619,0.0407545412203074,0.7074251635117548
12002,Nova-Scotia,0,13201,3478,20718,5806,1267,44470,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,Other,None,230,60955,6,2,4,1,3,5,0.46588711490892737,0.0,0.29685181020912976,0.07821002923319091,0.1305599280413762,0.02849111760737576,0.7295545894512345
12003,Nova-Scotia,0,16219,6015,16672,5451,1093,45450,Liberal,Conservative,Green-Party,NDP-New-Democratic-Party,Other,None,222,66967,6,2,3,1,4,5,0.36682068206820684,0.0,0.35685368536853684,0.13234323432343234,0.11993399339933994,0.02404840484048405,0.6786924903310586
