fields,score
immigration_arrival_2006_to_2010,0.1293836272176705
employment_type_0_management_occupations,0.10450934395608541
immigration_arrival_2001_to_2005,0.07538913646781525
immigration_arrival_1991_to_2000,0.07509485448748923
immigration_arrival_1981_to_1990,0.04824439256463406
immigrant_age_under_5_years,0.03886570491721465
ethnic_latin_american,0.03358785072453797
industry_21_mining_quarrying_and_oil_and_gas_extraction,0.031063361376099122
age_25_to_29_years,0.022650814572657163
immigrant_category_immigrants,0.022165362884206143
immigrant_age_25_to_44_years,0.020222990015351137
immigration_arrival_immigrants,0.018960685038405478
ethnic_southeast_asian,0.01527123617785861
industry_41_wholesale_trade,0.015081474476363942
employment_type_1_business_finance_and_administration_occupations,0.013735866976759794
immigration_arrival_2011_to_2016,0.013669809584735149
industry_54_professional_scientific_and_technical_services,0.013581550582996324
income_source_market_income_(),0.01131396518728148
education_subject_humanities,0.008342327465865869
ethnic_black,0.008177389650390287
lone_parent_children_3_or_more_children,0.007112927880014455
ethnic_multiple_visible_minorities,0.007062256718920333
employee_departure_time_between_7_a.m._and_7:59_a.m.,0.006831746512446871
immigrant_generation_first_generation,0.006387923743835155
median_total_income_of_economic_families_in_2015_($),0.006356372227063088
employment_type_2_natural_and_applied_sciences_and_related_occupations,0.005963882105860663
industry_62_health_care_and_social_assistance,0.005890233039968334
immigrant_age_total_-_age_at_immigration_for_the_immigrant_population_in_private_households_-_25_sample_data,0.005747934413849485
2019_NDP-New-Democratic-Party_Votes,0.005598064598760237
employee_departure_time_between_6_a.m._and_6:59_a.m.,0.005525042661764699
shelter_spending_30_or_more_of_income_on_shelter_costs,0.005317600590329564
industry_52_finance_and_insurance,0.005235298123443788
parent_gender_female_parent,0.004590058032064072
marital_status_living_common_law,0.004170459885844742
education_level_university_certificate_or_diploma_below_bachelor_level,0.0036055925116935386
employee_departure_time_between_8_a.m._and_8:59_a.m.,0.0035926087751570867
industry_71_arts_entertainment_and_recreation,0.0035689500058988426
_of_tenant_households_in_subsidized_housing,0.0032947684017654803
lone_parent_children_1_child,0.0032209969300176933
education_level_earned_doctorate,0.0032061722609622993
ethnic_japanese,0.003064176753191398
marital_status_separated,0.003035400621836212
employment_type_3_health_occupations,0.0030274403917109876
home_ownership_renter,0.002908215147999615
land_area_in_square_kilometres,0.0028999243587571858
2019_Percent_Riding_Votes_Liberal,0.0028908303637053636
education_level_bachelor's_degree,0.002714359095819712
home_type_movable_dwelling,0.0026796678354148243
age_20_to_24_years,0.0025890352307788617
industry_23_construction,0.002522038315395433
population_density_per_square_kilometre,0.0023779922169267346
education_level_university_certificate_or_diploma_above_bachelor_level,0.0023477447537674145
parent_gender_male_parent,0.0023436869848622323
industry_11_agriculture_forestry_fishing_and_hunting,0.0022900975938270804
2015_Conservative_Votes,0.0020804126077946915
ethnic_filipino,0.0020639242886942998
2015_Voter_Participation,0.0020425802292914643
2015-2019_EOE_Percent_Change_Percent_Riding_Votes_Green-Party,0.0020294485969518817
married_lone_parent_total_lone-parent_families_by_sex_of_parent,0.001983122693082615
education_subject_education,0.0019199465750669503
language_french_only,0.0018937820329788216
2015-2019_EOE_Percent_Change_Green-Party_Votes,0.0018856445855724127
immigrant_category_non-permanent_residents,0.0018819839113607616
2019_Conservative_Votes,0.0017979288429491012
2015-2019_EOE_Percent_Change_Voter_Participation,0.0017930252009436378
ethnic_korean,0.0017916710798730375
