District_Name_x,Electoral_District_Number,employment_unemployment_rate,predict_unemployment_rate
Ajax,35001,8.2,7.613999999999999
Victoria,59041,6.0,7.0680000000000005
Orléans,35076,6.0,6.415
Louis-Saint-Laurent,24045,3.6,5.8759999999999994
Stormont--Dundas--South Glengarry,35102,7.8,7.190999999999998
Toronto--St. Paul's,35090,6.3,7.322000000000002
Beloeil--Chambly,24011,4.3,5.457999999999998
Battle River--Crowfoot,48002,7.7,8.330000000000004
Simcoe North,35100,7.8,7.519000000000001
Fundy Royal,13004,10.1,8.072
Brampton East,35009,7.9,7.842999999999995
Portage--Lisgar,46007,5.5,6.6869999999999985
Vancouver Granville,59036,5.3,6.755999999999999
Jonquière,24032,9.1,11.220000000000002
Hamilton Centre,35035,9.4,8.862000000000004
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,6.2,12.47
Renfrew--Nipissing--Pembroke,35086,7.2,6.917999999999999
Chatham-Kent--Leamington,35017,7.0,7.129000000000002
Gaspésie--Les Îles-de-la-Madeleine,24026,14.8,16.100999999999996
Egmont,11003,15.1,17.245999999999995
Vancouver Kingsway,59038,5.8,7.089999999999999
Vancouver East,59035,5.8,7.109999999999998
Richmond Centre,59025,6.3,6.9789999999999965
Barrie--Innisfil,35004,7.0,6.454999999999999
Vimy,24078,8.6,8.449999999999998
Durham,35023,7.3,6.376
Niagara Centre,35066,8.5,7.689999999999997
Algoma--Manitoulin--Kapuskasing,35002,10.4,13.254000000000001
Bourassa,24015,11.9,10.305
Longueuil--Charles-LeMoyne,24041,8.3,8.101000000000004
Rivière-du-Nord,24063,6.9,7.028999999999997
Glengarry--Prescott--Russell,35031,5.3,6.17
Scarborough--Agincourt,35093,9.9,9.762999999999998
St. John's East,10006,9.4,7.140999999999998
Edmonton--Wetaskiwin,48021,8.6,8.761
Beaches--East York,35007,8.0,7.457999999999996
Edmonton Manning,48016,9.1,8.382000000000001
Coquitlam--Port Coquitlam,59008,5.6,6.314
Mégantic--L'Érable,24047,5.2,11.635000000000002
Labrador,10004,15.0,18.906999999999982
Cypress Hills--Grasslands,47002,4.2,7.8469999999999995
Wellington--Halton Hills,35113,4.8,5.548000000000002
Scarborough Centre,35094,9.4,9.316999999999998
Richmond Hill,35087,7.2,6.859000000000002
Yellowhead,48034,10.8,8.687999999999997
Dorval--Lachine--LaSalle,24024,9.6,8.375000000000002
Hamilton Mountain,35037,7.2,8.235
Abitibi--Témiscamingue,24002,8.0,9.229999999999999
Barrie--Springwater--Oro-Medonte,35005,7.1,6.789000000000002
Niagara Falls,35067,7.3,7.654000000000001
Kingston and the Islands,35044,8.1,8.052999999999995
Manicouagan,24046,12.4,12.795
Skeena--Bulkley Valley,59028,13.1,8.747999999999998
Esquimalt--Saanich--Sooke,59026,5.4,7.025
Notre-Dame-de-Grâce--Westmount,24053,8.6,8.476999999999999
Oakville North--Burlington,35073,6.0,6.425999999999998
Pierre-Boucher--Les Patriotes--Verchères,24014,4.2,5.121999999999998
Medicine Hat--Cardston--Warner,48027,9.2,8.710999999999999
Kamloops--Thompson--Cariboo,59013,8.2,7.975999999999998
Prince George--Peace River--Northern Rockies,59024,11.1,8.897000000000002
Mississauga Centre,35058,9.4,8.061000000000003
Markham--Unionville,35056,6.9,7.136000000000003
Saint-Maurice--Champlain,24070,8.8,8.026
Northumberland--Peterborough South,35071,7.2,6.859000000000004
Lévis--Lotbinière,24042,3.9,4.803
Halifax West,12006,6.5,7.045999999999996
Lac-Saint-Jean,24035,10.8,12.176000000000002
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,24077,9.9,8.519
Cardigan,11001,12.4,12.984000000000007
Windsor--Tecumseh,35116,7.7,8.083
Hamilton East--Stoney Creek,35036,7.5,7.498999999999999
Courtenay--Alberni,59009,8.4,7.952999999999998
Central Okanagan--Similkameen--Nicola,59005,7.9,7.840999999999999
Louis-Hébert,24044,5.8,6.983
Vaughan--Woodbridge,35111,5.3,6.377000000000001
Yukon,60001,9.2,10.453999999999999
Carlton Trail--Eagle Creek,47004,5.9,6.8909999999999965
Honoré-Mercier,24029,8.4,7.964000000000003
Prince Albert,47006,8.7,7.717
Québec,24059,6.0,8.246999999999998
Peterborough--Kawartha,35084,8.2,7.666000000000001
Kings--Hants,12007,8.9,8.11
Fredericton,13003,8.5,7.2899999999999965
Oshawa,35074,10.2,7.812
Flamborough--Glanbrook,35030,4.7,5.6160000000000005
Battlefords--Lloydminster,47001,9.7,8.942
Winnipeg South Centre,46014,6.0,6.514999999999999
Oakville,35072,7.1,6.49
Mississauga East--Cooksville,35059,8.0,8.409999999999998
Burlington,35015,5.7,6.672000000000002
Hamilton West--Ancaster--Dundas,35038,6.8,6.464999999999999
Yorkton--Melville,47014,6.1,8.655
South Shore--St. Margarets,12009,9.0,8.060999999999998
Kitchener--Conestoga,35046,4.5,5.482
Mirabel,24048,5.6,5.966000000000003
Mississauga--Streetsville,35063,7.3,7.203
Sackville--Preston--Chezzetcook,12008,6.5,6.132
Calgary Centre,48004,8.2,8.782000000000004
Tobique--Mactaquac,13010,11.2,10.774999999999999
Calgary Skyview,48013,9.7,8.382
Etobicoke--Lakeshore,35028,6.8,7.662000000000005
Lanark--Frontenac--Kingston,35049,6.0,6.603999999999998
